1,J10,E
2,J8,N
4,G1,E
5,H6,N
6,A13,E
7,B17,N
8,C3,W
11,F16,N
12,C8,N
13,C5,S
14,E2,S
15,J1,N
16,I17,N
18,B6,N
19,C2,S
20,B16,NE
21,H4,SE
22,C15,NW
23,J3,NE
25,A9,N
26,F11,NE
27,I14,E
28,K18,N
29,H2,S
30,G18,N
31,D11,NW
32,F14,N
33,F13,W
34,F10,SW
35,C4,N
36,K5,SW
37,K12,N
38,D1,W
40,B7,N
51,K17,NE
52,G17,N
53,D17,N
54,I12,E
56,F4,N
57,K3,SE
58,A16,NW
59,J4,N
60,A15,N
61,B2,SW
62,K1,SE
63,E6,N
64,F2,S
65,G3,N
66,B4,N
67,B1,S
68,B14,E
69,J7,SE
70,A3,N
71,I5,SE
72,H9,N
73,B8,SW
74,E11,SE
75,E8,N
76,A11,N
77,A18,N
78,G14,N
79,G6,NE
80,K15,E
82,C10,W
83,D9,NW
84,K13,NE
85,H1,SE
86,I8,NE
87,F5,N
88,I16,NW
89,H10,E
90,C13,NW
91,H18,N
99,G7,NW
100,D3,SW
102,C1,S
103,H17,N
105,H14,N
106,H15,N
107,K16,NE
108,K8,N
109,F1,S
110,E14,NE
111,A8,NW
112,I4,NE
113,A2,S
114,F3,SE
115,D6,N
116,C17,NW
117,G16,NW
118,F7,N
119,D5,W
122,G4,N
123,J6,N
124,G10,NW
125,B9,N
126,G8,NW
127,K9,NE
128,D18,N
129,C7,N
130,F12,S
131,D12,NW
132,D15,NE
133,K11,N
134,I2,SE
135,B10,NW
136,G13,NE
137,H11,NE
138,B13,N
139,J13,NE
140,A5,NW
141,F18,N
147,H3,SE
148,E4,NE
150,K14,NE
151,D14,NE
152,C12,SW
153,I1,SW
154,H8,NE
155,E1,W
156,K6,N
157,A4,NW
158,D2,NW
159,K2,S
160,G2,S
161,F6,NW
162,E17,SW
163,G11,NW
164,F15,NW
165,E3,SW
166,I3,SE
167,J2,NE
168,I15,S
169,J9,NE
170,B18,NW
171,D10,NW
172,F8,N
173,A14,N
174,J17,SE
175,A6,N
176,J16,N
177,E10,E
178,C14,NW
179,I13,SE
180,E16,S
181,A17,N
182,F17,N
183,A12,N
184,B11,NW
185,A1,SW
186,H12,N
187,D8,SW
188,E7,N
189,I7,NE
190,I10,NW
191,J14,S
192,F9,N
193,D4,NW
194,H5,E
195,J11,NE
196,J18,N
197,C16,NE
198,E18,N
199,B3,SW
200,K4,NE
201,E13,N
w01,H7,SW
w02,D7,SE
w03,I18,W
w04,C18,E
w05,G12,E
w06,E12,W
w07,J15,SE
w08,B15,SW
w09,E15,SW
w10,G15,SE
w11,H13,E
w12,D13,W
w13,B5,SW
w14,J5,SE
w15,E9,NE
w16,G9,NW
w17,C11,W
w18,I11,E
w19,D16,SW
w20,H16,SE
w21,B12,SW
w22,J12,SE
w23,A7,NE
w24,K7,NW
w25,E5,E
w26,G5,W
w27,C9,SW
w28,I9,SE
w29,A10,SW
w30,K10,SE
w31,C6,NE
w32,I6,NW
